country,current_patent_number 
JP,3174742
JP,3215114
JP,3236849
JP,3236851
JP,3236852
JP,3276353
JP,3276354
JP,3293819
JP,3625055
JP,3638940
JP,3640660
JP,3644642
JP,3673757
JP,3675433
JP,3711263
JP,3712422
JP,3857629
JP,3924578
JP,3968073
JP,3997253
JP,4002591
JP,4017658
JP,4021761
JP,4027310
JP,4051338
JP,4091642
JP,4098717
JP,4197839
JP,4212654
JP,4271200
JP,4278662
JP,4280642
JP,4283285
JP,4284324
JP,4309767
JP,4319983
JP,4342109
JP,4382754
JP,4439543
JP,4465360
JP,4469602
JP,4504410
JP,4518508
JP,4528830
JP,4567718
JP,4576415
JP,4595912
JP,4602422
JP,4602431
JP,4612637
JP,4650978
JP,4650994
JP,4658152
JP,4660672
JP,4663008
JP,4663011
JP,4669946
JP,4669947
JP,4674303
JP,4681656
JP,4693942
JP,4729077
JP,4742113
JP,4742117
JP,4748737
JP,4749450
JP,4772823
JP,4783402
JP,4801696
JP,4806028
JP,4838840
JP,4847679
JP,4856723
JP,4877841
JP,4881799
JP,4896073
JP,4971445
JP,4979632
JP,5011439
JP,5017559
JP,5045839
JP,5054772
JP,5057459
JP,5087479
JP,5140227
JP,5158276
JP,5193315
JP,5234377
JP,5375954
JP,5477487
JP,5510332
JP,5525092
JP,5598564
JP,5606603
JP,5684323
JP,5773074
JP,5825789
JP,5841566
JP,5896083
JP,5926433
JP,5943180
JP,6025232
JP,6044799
JP,6214052
JP,6308279
JP,6460209
JP,6501084
KR,100556591
KR,100559925
KR,100561114
KR,100588389
KR,100588390
KR,100694339
KR,100772134
KR,100782625
KR,100815636
KR,100845821
KR,100892658
KR,100912972
KR,100923923
KR,100927982
KR,100928250
KR,100944236
KR,100945613
KR,100947530
KR,100953151
KR,100954001
KR,100954820
KR,100958330
KR,100959291
KR,100960747
KR,100965532
KR,100977452
KR,100977453
KR,100978320
KR,100978826
KR,100980102
KR,100981628
KR,100985645
KR,101004695
KR,101005046
KR,101009137
KR,101018434
KR,101018446
KR,101018449
KR,101045449
KR,101050335
KR,101051094
KR,101061473
KR,101086796
KR,101089448
KR,101120380
KR,101132033
KR,101133868
KR,101153598
KR,101226801
KR,101287322
KR,101289206
KR,101344111
KR,101398950
KR,101401605
KR,101430676
KR,101539872
KR,101589885
KR,101651807
KR,101652651
KR,101663451
KR,101779458
KR,102028271
RU,2213367
RU,2237370
RU,2503141
RU,2546301
RU,2600131
RU,2602088
RU,2619171
RU,2636013
RU,2642477
RU,2669792
RU,2675071
